route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D21,SH,D21-R01,Universitas Indonesia - Lebak Bulus,0,,D21-R01_shp
D21,SH,D21-R02,Lebak Bulus - Universitas Indonesia,1,,D21-R02_shp
D31,HK,D31-R03,Cinere - Kuningan,0,,D31-R03_shp
D31,HK,D31-R04,Kuningan - Cinere,1,,D31-R04_shp
D32,HK,D32-R01,Cinere - Bundaran Senayan,0,,D32-R01_shp
D32,HK,D32-R02,Bundaran Senayan - Cinere,1,,D32-R02_shp
GR4,SH,GR4-L01,Taman Kota Intan - Museum Bahari,0,,GR4-L01_shp
GR5,SH,GR5-L01,Kota Tua Explorer,0,,GR5-L01_shp
JAK.01,SH,JAK.01-R01,Tanjung Priok - Plumpang,0,,JAK.01-R01_shp
JAK.01,SH,JAK.01-R02,Plumpang - Tanjung Priok,1,,JAK.01-R02_shp
JAK.02,SH,JAK.02-R03,Kampung Melayu - Duren Sawit,0,,JAK.02-R03_shp
JAK.02,SH,JAK.02-R04,Duren Sawit - Kampung Melayu,1,,JAK.02-R04_shp
JAK.03,SH,JAK.03-R01,Lebak Bulus - Andara,0,,JAK.03-R01_shp
JAK.03,SH,JAK.03-R02,Andara - Lebak Bulus,1,,JAK.03-R02_shp
JAK.04,SH,JAK.04-R01,Tubagus Angke - Grogol,0,,JAK.04-R01_shp
JAK.04,SH,JAK.04-R02,Grogol - Tubagus Angke,1,,JAK.04-R02_shp
JAK.05,SH,JAK.05-R01,Rorotan - Semper,0,,JAK.05-R03_shp
JAK.05,SH,JAK.05-R02,Semper - Rorotan,1,,JAK.05-R04_shp
JAK.06,SH,JAK.06-R01,Pondok Gede - Kampung Rambutan,0,,JAK.06-R01_shp
JAK.06,SH,JAK.06-R02,Kampung Rambutan - Pondok Gede,1,,JAK.06-R02_shp
JAK.07,SH,JAK.07-R01,Tanah Abang - Grogol Via Tawakal,0,,JAK.07-R01_shp
JAK.07,SH,JAK.07-R02,Grogol - Tanah Abang Via Tawakal,1,,JAK.07-R02_shp
JAK.08,SH,JAK.08-R01,Roxy - Benhil,0,,JAK.08-R01_shp
JAK.08,SH,JAK.08-R02,Benhil - Roxy,1,,JAK.08-R02_shp
